table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share,from_bin,from_actual_mass,from_iid_mass,conditional_actual,conditional_iid,conditional_delta,abs_conditional_delta
transition,balanced|deep_32_63|odd,2-3 -> 2-3,1,0.0026879840493202237,0.002786452649596747,-9.846860027652336e-05,0.9646616638934189,9.846860027652336e-05,0.008842144817882062,2-3,0.006107693076133854,0.006452315958841666,0.44009808872414835,0.4318531000916727,0.008244988632475636,0.008244988632475636
transition,balanced|deep_32_63|odd,4-7 -> 2-3,2,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903620944,4-7,0.010647027593850021,0.011536012873892623,0.3211890827435082,0.3177755910398739,0.003413491703634308,0.003413491703634308
transition,balanced|deep_32_63|odd,4-7 -> 4-7,2,0.007227318567037702,0.00787014956464789,-0.0006428309976101885,0.918320358167304,0.0006428309976101885,0.057724033431274954,4-7,0.010647027593850021,0.011536012873892623,0.6788109172566036,0.6822244089601339,-0.003413491703530336,0.003413491703530336
transition,balanced|deep_32_63|odd,8-15 -> 4-7,3,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903620944,8-15,0.019624626111984924,0.020931432420121993,0.1742560091234077,0.1751367625333048,-0.0008807534098971004,0.0008807534098971004
transition,balanced|deep_32_63|odd,8-15 -> 8-15,3,0.016204917085169093,0.01726556911088372,-0.001060652025714627,0.938568371601141,0.001060652025714627,0.09524293822001942,8-15,0.019624626111984924,0.020931432420121993,0.825743990876474,0.8248632374670082,0.0008807534094658065,0.0008807534094658065
transition,balanced|deep_32_63|odd,16-31 -> 16-31,4,0.033033936029673076,0.035005635869236565,-0.0019716998395634885,0.9436747886275009,0.0019716998395634885,0.17705192792277133,16-31,0.03645364505648777,0.038671499178478536,0.9061902034346472,0.9052050376344836,0.000985165800163612,0.000985165800163612
transition,balanced|deep_32_63|odd,16-31 -> 8-15,4,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903620944,16-31,0.03645364505648777,0.038671499178478536,0.09380979656532024,0.09479496236559014,-0.000985165800269902,0.000985165800269902
transition,balanced|deep_32_63|odd,32-63 -> 16-31,5,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903620944,32-63,0.06281407960058524,0.06837006959437412,0.05444175969079467,0.053617954917899786,0.0008238047728948844,0.0008238047728948844
transition,balanced|deep_32_63|odd,32-63 -> 32-63,5,0.059394370573771435,0.06470420628515522,-0.005309835711383784,0.9179367769695987,0.005309835711383784,0.47680515603318696,32-63,0.06281407960058524,0.06837006959437412,0.9455582403092005,0.9463820450824793,-0.0008238047732787024,0.0008238047732787024
transition,balanced|deep_32_63|odd,64-95 -> 32-63,6,0.001639991503953934,0.0017994298787137105,-0.0001594383747597764,0.9113950609324394,0.0001594383747597764,0.014317022839714425,64-95,0.01035843414664162,0.01093430125308194,0.15832426800585947,0.16456743207130164,-0.006243164065442175,0.006243164065442175
